ID,tube,avg_diameter,Female,culture,Sample_ID,stack,Treatment,tube ,pigment,avg_mean
H_eg_3_3,H_eg_3,85.101,3,HE332_PL,HE332_PL_3,Stack1,E,33,42,255.8096294
H_eg_3_3,H_eg_3,85.78233333333333,3,HE332_PL,HE332_PL_3,Stack2,E,33,62,277.2314244
H_eg_3_3,H_eg_3,92.72466666666666,3,HE332_PL,HE332_PL_3,Stack3,E,33,59,289.2596159
H_eg_3_3,H_eg_3,84.34466666666667,3,HE332_PL,HE332_PL_3,Stack4,E,33,80,314.023046
H_eg_3_3,H_eg_3,84.482,3,HE332_PL,HE332_PL_3,Stack5,E,33,61,300.0779513
H_eg_3_3,H_eg_3,87.21466666666666,3,HE332_PL,HE332_PL_3,Stack6,E,33,58,284.6516103
H_eg_3_3,H_eg_3,87.06433333333334,3,HE332_PL,HE332_PL_3,Stack7,E,33,54,278.8529364
H_eg_3_3,H_eg_3,88.16166666666666,3,HE332_PL,HE332_PL_3,Stack8,E,33,41,289.6300931
H_eg_3_3,H_eg_3,87.838,3,HE332_PL,HE332_PL_3,Stack10,E,33,51,293.0666344
H_eg_3_3,H_eg_3,90.505,3,HE332_PL,HE332_PL_3,Stack11,E,33,54,295.4736041
