culture,Sample_ID,stack,Treatment,tube ,pigment,avg_mean
HA232_PL,HA232_PL_2,Stack8,A,23,37,241.0840595
HA232_PL,HA232_PL_2,Stack9,A,23,43,238.5407274
HA232_PL,HA232_PL_2,Stack10,A,23,42,243.3649683
HA232_PL,HA232_PL_3,Stack1,A,23,47,263.9216164
HA232_PL,HA232_PL_3,Stack2,A,23,40,246.9988419
HA232_PL,HA232_PL_3,Stack3,A,23,42,227.1421895
HA232_PL,HA232_PL_3,Stack4,A,23,38,238.4344155
HA232_PL,HA232_PL_3,Stack5,A,23,53,245.3032346
HA232_PL,HA232_PL_3,Stack6,A,23,45,250.2812073
HA232_PL,HA232_PL_3,Stack7,A,23,38,230.9498079
HA232_PL,HA232_PL_3,Stack8,A,23,48,258.2728894
HA232_PL,HA232_PL_3,Stack9,A,23,38,252.9322899
HA232_PL,HA232_PL_3,Stack10,A,23,40,265.8958871
HA331_PL,HA331_PL_1,Stack1,A,33,53,262.2460141
HA331_PL,HA331_PL_1,Stack2,A,33,46,246.4947242
HA331_PL,HA331_PL_1,Stack3,A,33,46,263.4076617
HA331_PL,HA331_PL_1,Stack4,A,33,51,232.0138242
HA331_PL,HA331_PL_1,Stack5,A,33,60,260.4847341
HA331_PL,HA331_PL_1,Stack6,A,33,56,275.5155646
HA331_PL,HA331_PL_1,Stack7,A,33,64,246.9764854
HA331_PL,HA331_PL_1,Stack8,A,33,54,282.5942475
HA331_PL,HA331_PL_1,Stack9,A,33,43,250.1075739
HA331_PL,HA331_PL_1,Stack10,A,33,44,261.1586748
HA331_PL,HA331_PL_2,Stack1,A,33,43,281.1003408
HA331_PL,HA331_PL_2,Stack2,A,33,40,244.9312256
HA331_PL,HA331_PL_2,Stack3,A,33,41,254.4367658
HA331_PL,HA331_PL_2,Stack4,A,33,34,261.4113864
HA331_PL,HA331_PL_2,Stack5,A,33,33,254.7257907
HA331_PL,HA331_PL_2,Stack6,A,33,44,280.4566767
HA331_PL,HA331_PL_2,Stack7,A,33,39,273.3625425
HA331_PL,HA331_PL_2,Stack8,A,33,31,269.1955958
HA331_PL,HA331_PL_2,Stack9,A,33,48,283.3231473
HA331_PL,HA331_PL_2,Stack10,A,33,51,267.3015174
HA331_PL,HA331_PL_3,Stack1,A,33,37,256.5107754
HA331_PL,HA331_PL_3,Stack2,A,33,38,268.2691406
HA331_PL,HA331_PL_3,Stack3,A,33,51,274.6498961
HA331_PL,HA331_PL_3,Stack4,A,33,41,279.362091
HA331_PL,HA331_PL_3,Stack5,A,33,36,306.076465
HA331_PL,HA331_PL_3,Stack6,A,33,43,291.1893712
HA331_PL,HA331_PL_3,Stack7,A,33,47,271.2318645
HA331_PL,HA331_PL_3,Stack8,A,33,56,266.9746015
HA331_PL,HA331_PL_3,Stack9,A,33,42,252.9760096
HA331_PL,HA331_PL_3,Stack10,A,33,38,268.7784329
HA332_PL,HA332_PL_1,Stack1,A,33,50,290.0441181
HA332_PL,HA332_PL_1,Stack2,A,33,35,253.3555832
HA332_PL,HA332_PL_1,Stack3,A,33,54,255.666179
HA332_PL,HA332_PL_1,Stack4,A,33,41,296.1367318
HA332_PL,HA332_PL_1,Stack5,A,33,47,271.011442
HA332_PL,HA332_PL_1,Stack6,A,33,45,270.8435846
HA332_PL,HA332_PL_1,Stack7,A,33,52,262.6028328
HA332_PL,HA332_PL_1,Stack8,A,33,65,273.6416099
HA332_PL,HA332_PL_1,Stack9,A,33,72,278.1962137
HA332_PL,HA332_PL_1,Stack10,A,33,54,282.7245499
HA332_PL,HA332_PL_2,Stack1,A,33,42,269.8728674
HA332_PL,HA332_PL_2,Stack2,A,33,46,235.6904395
HA332_PL,HA332_PL_2,Stack3,A,33,50,238.0261943
HA332_PL,HA332_PL_2,Stack4,A,33,49,285.6557082
HA332_PL,HA332_PL_2,Stack5,A,33,46,272.7126361
HA332_PL,HA332_PL_2,Stack6,A,33,38,263.4804795
HA332_PL,HA332_PL_2,Stack7,A,33,40,254.1226805
HA332_PL,HA332_PL_2,Stack8,A,33,39,274.7357805
HA332_PL,HA332_PL_2,Stack9,A,33,43,274.452048
HA332_PL,HA332_PL_2,Stack10,A,33,52,267.6520968
HA332_PL,HA332_PL_3,Stack1,A,33,43,287.0574278
HA332_PL,HA332_PL_3,Stack2,A,33,40,266.3775204
HA332_PL,HA332_PL_3,Stack3,A,33,40,267.2510012
HA332_PL,HA332_PL_3,Stack4,A,33,48,269.4990346
HA332_PL,HA332_PL_3,Stack5,A,33,38,250.0484032
HA332_PL,HA332_PL_3,Stack6,A,33,42,265.3799612
HA332_PL,HA332_PL_3,Stack7,A,33,40,274.9287536
HA332_PL,HA332_PL_3,Stack8,A,33,44,257.297013
HA332_PL,HA332_PL_3,Stack9,A,33,42,268.9283443
HA332_PL,HA332_PL_3,Stack10,A,33,45,249.5031629
HE111_PL,HE111_PL_2,Stack1,E,11,43,273.2513988
HE111_PL,HE111_PL_2,Stack2,E,11,86,263.4920444
HE111_PL,HE111_PL_2,Stack3,E,11,79,265.2878519
HE111_PL,HE111_PL_2,Stack4,E,11,54,264.6609609
HE111_PL,HE111_PL_2,Stack5,E,11,63,263.0147942
HE111_PL,HE111_PL_2,Stack6,E,11,66,272.4240971
HE111_PL,HE111_PL_2,Stack7,E,11,54,290.4300895
HE111_PL,HE111_PL_2,Stack8,E,11,74,243.301935
HE111_PL,HE111_PL_2,Stack9,E,11,62,258.6634123
HE111_PL,HE111_PL_2,Stack10,E,11,70,282.7161008
HE111_PL,HE111_PL_3,Stack1,E,11,108,237.0876899
HE111_PL,HE111_PL_3,Stack2,E,11,85,234.3053928
HE111_PL,HE111_PL_3,Stack3,E,11,104,236.7539243
HE111_PL,HE111_PL_3,Stack4,E,11,60,232.3767759
HE111_PL,HE111_PL_3,Stack5,E,11,82,209.2168683
HE111_PL,HE111_PL_3,Stack6,E,11,81,229.8937198
HE111_PL,HE111_PL_3,Stack7,E,11,111,235.1679287
HE111_PL,HE111_PL_3,Stack8,E,11,72,235.2058945
HE111_PL,HE111_PL_3,Stack9,E,11,74,252.9243769
HE111_PL,HE111_PL_3,Stack10,E,11,88,232.8504521
HE112_PL,HE112_PL_2,Stack1,E,11,58,298.9694318
HE112_PL,HE112_PL_2,Stack2,E,11,81,267.8130413
HE112_PL,HE112_PL_2,Stack3,E,11,79,264.9711138
HE112_PL,HE112_PL_2,Stack4,E,11,100,298.6097728
HE112_PL,HE112_PL_2,Stack5,E,11,74,291.425858
HE112_PL,HE112_PL_2,Stack6,E,11,73,270.0078256
HE112_PL,HE112_PL_2,Stack7,E,11,70,275.1222788
HE112_PL,HE112_PL_2,Stack8,E,11,78,302.3998713
HE112_PL,HE112_PL_2,Stack9,E,11,72,301.9387744
HE112_PL,HE112_PL_2,Stack11,E,11,68,297.2713669
HE112_PL,HE112_PL_3,Stack1,E,11,76,297.235132
HE112_PL,HE112_PL_3,Stack2,E,11,80,268.7096665
